EventName,SessionName,Track,Category,Level,Selected
PASS Summit 2011,Evaluate your Daily Checklist Against 100+ instances of SQL Server while you get a cup of coffee,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,1
PASS Summit 2011,Visual Report Design:  Bringing Sexy Back,BI Client Reporting and Delivery Topics,Spotlight Session (90 minutes),300,1
PASS Summit 2011,Powershell Eye for the Monitoring Guy,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Deploying Highly Available Multi-Site SQL Server 2008 R2 or Denali Using Windows Server 2008 R2,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Is That A Failover Cluster On Your Laptop?,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Filestream gathers steam,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,Cooking with SSRS: Advanced Report Design Recipes,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),400,0
PASS Summit 2011,Multidimensional Reporting: MDX Essentials for Report Design,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,1
PASS Summit 2011,Designing and Building an End-to-End Business Intelligence Solution with SQL Server 2008 R2 and SharePoint 2010,"BI Architecture, Development and Administration Topics",Pre-conference Session (7 hours),300,0
PASS Summit 2011,Geography 101: Mapping solutions with SSRS,BI Client Reporting and Delivery Topics,Spotlight Session (90 minutes),400,0
PASS Summit 2011,.NET scripting for SQL Server BI and T-SQL scripts,Application and Database Development,1/2 Day Sessions (3 hours),400,0
PASS Summit 2011,asdf2,BI Client Reporting and Delivery Topics,Pre-conference Session (7 hours),100,0
PASS Summit 2011,Top 10 Operational Mistakes TO Avoid,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,Design Planning,Professional Development,Regular Session (75 minutes),200,0
PASS Summit 2011,Project Management 101,Professional Development,Regular Session (75 minutes),200,0
PASS Summit 2011,"Practical use of CTEs, Ranking Functions, MERGE statement, OUTPUT clause and other latest features in T-SQL.",Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,"What's New in SQL Server ""Denali"" - Engine and Tools",Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,1
PASS Summit 2011,Creating a Winning Abstract,Professional Development,Regular Session (75 minutes),200,0
PASS Summit 2011,My day by day as SQL Server DBA using PowerShell and SQLPSX 2.0,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Preparation for Disaster,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,The Top Ten SQL Server Skills You Need,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,1
PASS Summit 2011,Branding Yourself for a Dream Job -The Modern Resume,Professional Development,Regular Session (75 minutes),100,1
PASS Summit 2011,Creating a BI solution from A to Z,"BI Architecture, Development and Administration Topics",Pre-conference Session (7 hours),200,0
PASS Summit 2011,Using SQLCLR & Service Broker to Create a Scalable Application Server,Application and Database Development,1/2 Day Sessions (3 hours),300,0
PASS Summit 2011,Virtualization and SAN Basics for DBAs,Enterprise Database Administration and Deployment,Pre-conference Session (7 hours),300,1
PASS Summit 2011,Performance Tuning Made Easy,Enterprise Database Administration and Deployment,1/2 Day Sessions (3 hours),200,1
PASS Summit 2011,Waits and Queues and You,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,SQL Server Memory Management,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,1
PASS Summit 2011,Enterprise Data Mining for SQL Server Professionals,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Jumpstart your Business Intelligence Career,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,dba guide to databases on vmware,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,Seven Strategic Discussions About Scale,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,The Top 10 Crimes Against Fault Tolerance,Application and Database Development,Regular Session (75 minutes),200,0
PASS Summit 2011,SELECT Skeletons FROM DBA_Closet;,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,"The Database is Dead, Long Live the Database",Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,Oracle Database for the SQL Server DBA,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Presentation WOW!,Professional Development,Regular Session (75 minutes),200,0
PASS Summit 2011,Maximize Performance of SQL Server Standard Edition,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,Implementing SQL Server Denali Using Windows Server Core,Enterprise Database Administration and Deployment,Spotlight Session (90 minutes),400,1
PASS Summit 2011,Where are my keys?,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,Physical join operators,Application and Database Development,Regular Session (75 minutes),400,1
PASS Summit 2011,100 Years of Transaction solitude,Application and Database Development,Regular Session (75 minutes),400,0
PASS Summit 2011,Dynamic Management Views From the Eyes of Alice,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,1
PASS Summit 2011,Successful Telecommuting,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Properties in the Bag,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,"Best Practices for Deploying SQL Server on VMware - ""What every DBA needs to know to be successful for virtual deployments""",Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,1
PASS Summit 2011,SQL Server on VMware – Architecting for Performance ,Enterprise Database Administration and Deployment,Regular Session (75 minutes),400,0
PASS Summit 2011,SQL Server on VMware – High Availability Deep Dive ,Enterprise Database Administration and Deployment,Regular Session (75 minutes),400,0
PASS Summit 2011,T-SQL : Bad Habits to Kick,Application and Database Development,Regular Session (75 minutes),200,1
PASS Summit 2011,Merge Replication for Site High Availability,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,PowerPivot for Excel and Sharepoint 2010,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,0
PASS Summit 2011,SQL Azure Performance and Scalability,SQL Azure,Pre-conference Session (7 hours),300,0
PASS Summit 2011,SQL Azure Sharding with the Open Source Enzo Library,SQL Azure,Regular Session (75 minutes),100,1
PASS Summit 2011,Temporal Snapshot Fact Table,"BI Architecture, Development and Administration Topics",Spotlight Session (90 minutes),400,1
PASS Summit 2011,Engineering BI Solutions,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,SSIS: What’s new in Denali and how I can get it also in previous versions,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,SQL Server XML 201,Application and Database Development,Regular Session (75 minutes),200,0
PASS Summit 2011,From DBA to Data Architect,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,No More Bad Dates: Best Practices for Working With Dates and Times,Application and Database Development,Regular Session (75 minutes),200,1
PASS Summit 2011,Performance through Isolation: How Experienced DBAs Manage Concurrency,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,"Iceberg, Dead Ahead! Lessons from real life disasters for the database professional",Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Evolution of Security: What's New in Denali,Application and Database Development,Regular Session (75 minutes),400,1
PASS Summit 2011,"As A DBA, Where Do I Start?!",Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,So How Does the BI Workload Impact the Database Engine?,"BI Architecture, Development and Administration Topics",1/2 Day Sessions (3 hours),300,1
PASS Summit 2011,Why are we Waiting..,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,1
PASS Summit 2011,"Rules, Rules, and Rules",Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Rewrite Your T-SQL for Great Good!,Application and Database Development,Regular Session (75 minutes),300,1
PASS Summit 2011,And Then It Got Even Worse... Great Mistakes to Learn From,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,A BI Developer’s Guide to Dimensional Dating:  Date Dimension Best Practices,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),200,0
PASS Summit 2011,Consolidation is NOT A 4-Letter Word,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Disaster Recovery Is Not Just About Technology,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Get even more from PivotViewer,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,SQL Server Consolidation,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,"Truth, Justice, and Deploying SQL Server faster than a Speeding Bullet ",Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,A Day of SQL Server Security,Application and Database Development,Pre-conference Session (7 hours),300,0
PASS Summit 2011,Getting Dimensional with Data,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),200,0
PASS Summit 2011,End to End Report Creation and Management using Microsoft SQL Server 2008 R2,BI Client Reporting and Delivery Topics,Pre-conference Session (7 hours),300,0
PASS Summit 2011,I need my reports..........Yesterday!,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,0
PASS Summit 2011,We have control! - Monitoring and Controlling Resources in SQL Server,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,How to Perform a SQL Server Health Check,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Inside the SQL Server Transaction Log,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,1
PASS Summit 2011,Consulting: Have you got what it takes?,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Tested by Fire: DBA Best Practices Proven to Work,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,"Dispatchers, Cops and Detectives",Professional Development,Regular Session (75 minutes),200,0
PASS Summit 2011, Architectural Growing Pains ,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,What’s new in DAX 2.0,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Vertipaq vs OLAP: Change Your Data Modeling Approach,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,1
PASS Summit 2011,Many-to-Many Relationships in DAX,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),400,1
PASS Summit 2011,Analysis Services Advanced Best Practices,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,DAX Programming Patterns,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Optimizing SQL Server for Blazing Fast SharePoint Sites,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,"Avoiding Cursors, While Loops, and other forms of RBAR",Application and Database Development,1/2 Day Sessions (3 hours),400,0
PASS Summit 2011,Demystifying Database Metadata,Application and Database Development,Regular Session (75 minutes),400,0
PASS Summit 2011,Fixing Queries With Advanced T-SQL Constructs,Application and Database Development,Pre-conference Session (7 hours),400,1
PASS Summit 2011,SQL Server upgrade methods 2000/2005 to 2008 & 2008 R2: best practices and notes from field,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Automate and Manage SQL Server with PowerShell,Enterprise Database Administration and Deployment,Pre-conference Session (7 hours),200,0
PASS Summit 2011,Manage SQL Server System and Performance Data with PowerShell,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Let Service Broker Help You Scale Your Application,Application and Database Development,Regular Session (75 minutes),200,1
PASS Summit 2011,Analyze GPS Data with XQuery and Spatial Functions,Application and Database Development,Regular Session (75 minutes),200,0
PASS Summit 2011,SQL Server Virtualization: Design and Architect best practice solutions ,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,Fun With Scoped Assignments,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,My Co-workers Are 9000 Miles Away! How to Succeed on a Distributed Team,Professional Development,Regular Session (75 minutes),100,0
PASS Summit 2011,DBA As Protector of the Data: Notes from the Field,Application and Database Development,Regular Session (75 minutes),200,0
PASS Summit 2011,The Other Side of the Fence: Lessons Learned from Leaving Home,Application and Database Development,1/2 Day Sessions (3 hours),200,0
PASS Summit 2011,"Data cleansing using the ""Scrubbing Bubbles"" of SSIS","BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,T-SQL Awesomeness - The Denali Edition,Application and Database Development,Regular Session (75 minutes),200,0
PASS Summit 2011,SQL Server FastTrack 101: How can FastTrack make your data analysis run faster,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),100,0
PASS Summit 2011,Learning from SQL Server FastTrack: What FastTrack can teach us about performance best practices?,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Is that a parameter I smell?,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,Performance improvements in 60 min or less. Guaranteed,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Extreme High Availability,Enterprise Database Administration and Deployment,Pre-conference Session (7 hours),400,0
PASS Summit 2011,Database Antipatterns: Bridging the Gap Between Development Objectives and Database Realities,Application and Database Development,Regular Session (75 minutes),300,0
PASS Summit 2011,Everything You Didn't Know You Need to Know About Database Mirroring,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Query Tuning Mastery: Zen and the Art of Workspace Memory,Application and Database Development,Spotlight Session (90 minutes),500,1
PASS Summit 2011,SSIS: The DBA Multiplier,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),200,0
PASS Summit 2011,How to shoot yourself in the foot with MDX,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Analysis Services Power Tools,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Encryption in SQL 2008 R2 - Column and TDE,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,3rd Normal Form: That's crazy talk!!! ,Application and Database Development,Regular Session (75 minutes),200,1
PASS Summit 2011,Add It Up: Analysis Services Aggregations,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),400,1
PASS Summit 2011,Why Data Warehousing Projects Fail (And What You Can Do About It),"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),200,0
PASS Summit 2011,Monitor Your Business with PerformancePoint,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),100,0
PASS Summit 2011,Zero to Cube - Fast Track to SSAS Development,"BI Architecture, Development and Administration Topics",Spotlight Session (90 minutes),200,1
PASS Summit 2011,Tier 1 Analysis Services Solutions - Lessons from SSAS Maestros & SQLCAT,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),400,0
PASS Summit 2011,Quick and Great BI - The session your boss should see!,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),100,0
PASS Summit 2011,SQL Server Consolidation and Virtualization,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,0
PASS Summit 2011,Stump the Chump - Performance Tuning your SSAS Environment,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),400,0
PASS Summit 2011,Data Warehouse Dimension Loading - Four Ways to Fast,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,"Complex SSIS Executions - Parallel, Remote, Cascading, Triggered, and Re-entrant","BI Architecture, Development and Administration Topics",Regular Session (75 minutes),400,0
PASS Summit 2011,ETL Smackdown:  PowerShell vs SSIS -- with Aaron Nelson ,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),100,1
PASS Summit 2011,The Top 10 Things You're Doing Wrong,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,Data-Driven Subscriptions with SSIS,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),200,0
PASS Summit 2011,Spatial Data:  Cooler Than You'd Think,Application and Database Development,Regular Session (75 minutes),100,0
PASS Summit 2011,"Ben, why didn't you tell me?: Reporting Services Lessons Learned the Hard Way",BI Client Reporting and Delivery Topics,Regular Session (75 minutes),100,0
PASS Summit 2011,"Developers are from Mars, Report Servers are from Venus",BI Client Reporting and Delivery Topics,Regular Session (75 minutes),100,1
PASS Summit 2011,SSIS Package Design: Choosing the Right Components for the Job,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),200,0
PASS Summit 2011,Fitting Business Intelligence into Your SDLC,"BI Architecture, Development and Administration Topics",Regular Session (75 minutes),300,0
PASS Summit 2011,Report Lockdown: Implementing SSRS Security,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),300,0
PASS Summit 2011,Extending Your Data Reach with SQL Azure,SQL Azure,Regular Session (75 minutes),200,0
PASS Summit 2011,Inside PerformancePoint,BI Client Reporting and Delivery Topics,Regular Session (75 minutes),200,0
PASS Summit 2011,A Data Center Migration Story,Enterprise Database Administration and Deployment,Regular Session (75 minutes),100,0
PASS Summit 2011,100% Availability without 100% Uptime,Enterprise Database Administration and Deployment,Regular Session (75 minutes),300,1
PASS Summit 2011,SQL Server 2008 Auditing,Enterprise Database Administration and Deployment,Regular Session (75 minutes),200,0
PASS Summit 2011,SQL Server with MS Access Strategies and Tips,Application and Database Development,Regular Session (75 minutes),100,0
PASS Summit 2011,Tips and Tricks to Migrate an existing Applications into Windows Azure: From Strategy to Execution,SQL Azure,Regular Session (75 minutes),400,0
PASS Summit 2011,"Advanced SQL Azure - Performance, Scalability",SQL Azure,Regular Session (75 minutes),400,0
